CWE-20,492
CWE-399,330
CWE-200,259
CWE-264,207
CWE-119,177
NVD-CWE-noinfo,157
CWE-522,138
CWE-79,138
CWE-189,117
NVD-CWE-Other,98
CWE-310,81
CWE-287,73
CWE-601,70
CWE-77,67
CWE-254,37
CWE-284,35
CWE-59,29
CWE-94,24
CWE-22,22
CWE-532,22
CWE-362,21
CWE-732,19
CWE-863,17
CWE-185,17
CWE-352,16
CWE-19,14
CWE-416,13
CWE-330,13
CWE-311,13
CWE-190,12
CWE-798,11
CWE-276,11
CWE-345,11
CWE-17,11
CWE-909,10
CWE-384,10
CWE-78,9
CWE-400,9
CWE-295,7
CWE-561,7
CWE-326,7
CWE-93,7
CWE-415,6
CWE-772,5
CWE-16,4
CWE-835,4
CWE-502,4
CWE-706,4
CWE-252,4
CWE-693,4
CWE-120,4
CWE-476,4
CWE-404,3
CWE-306,3
CWE-113,3
CWE-787,3
CWE-611,2
CWE-125,2
CWE-426,2
CWE-471,2
CWE-749,2
CWE-320,2
CWE-255,2
CWE-89,2
CWE-484,2
CWE-347,1
CWE-918,1
CWE-862,1
CWE-126,1
CWE-285,1
CWE-184,1
CWE-1188,1
